Kernel trace events
Device, Binary, Kernel, Compute Unit, Function, Data Type, Index, Start Time (ms), End Time (ms), Value
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.056766,0.056773,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.056773,0.057647,16
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.057647,0.057653,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.057653,0.058527,17
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.058527,0.058533,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.058533,0.059407,18
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.059407,0.059414,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.059414,0.060287,19
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.060287,0.060294,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.060294,0.061164,20
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.061164,0.061171,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.061171,0.062044,21
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.062044,0.062051,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.062051,0.062924,22
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.062924,0.062931,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.062931,0.063804,23
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.063804,0.063811,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.063811,0.064685,24
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.064685,0.064691,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.064691,0.065565,25
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.065565,0.065571,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.065571,0.066445,26
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.066445,0.066452,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.066452,0.067322,27
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.067322,0.067328,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.067328,0.068202,28
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.068202,0.068209,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.068209,0.069082,29
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.069082,0.069089,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.069089,0.069962,30
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.069962,0.069969,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.069969,0.070842,31
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.070842,0.070842,65535
